"","python_p","python_k","python_s","java_p","java_k","java_s","c_p","c_k","c_s","c++_p","c++_k","c++_s","c#_p","c#_k","c#_s",".net_p",".net_k",".net_s","javascript_p","javascript_k","javascript_s","php_p","php_k","php_s","sql_p","sql_k","sql_s","objective-c_p","objective-c_k","objective-c_s","ruby_p","ruby_k","ruby_s","assembly_p","assembly_k","assembly_s","swift_p","swift_k","swift_s","matlab_p","matlab_k","matlab_s","groovy_p","groovy_k","groovy_s","go_p","go_k","go_s","vba_p","vba_k","vba_s","delphi_p","delphi_k","delphi_s","perl_p","perl_k","perl_s","r_p","r_k","r_s","sas_p","sas_k","sas_s","dart_p","dart_k","dart_s","scala_p","scala_k","scala_s"
"count",0.161542585508724,-0.0772838154445326,-0.0898024586142138,-0.3765952664532,-0.259407427955368,-0.341675112927465,-0.0269971721062784,0.0741342673626667,0.112512962323331,-0.625552683441113,-0.424632705186951,-0.593820533294149,0.142149447716372,0.0938867387766745,0.121210345856107,-0.51035586974897,-0.383573934697033,-0.500661584701371,-0.0666575990328204,-0.0102532051081669,-0.0181883426471855,-0.801178518516924,-0.445777868953239,-0.6169851585342,0.148764088332446,0.122867417591909,0.149463397953003,0.901555537925391,0.73538789816007,0.906432397368241,-0.596238628983776,-0.405226335083373,-0.555623907008827,0.574363378108797,0.410314279171441,0.580327989400594,0.933870141179256,0.684835538156745,0.865023299151458,0.445827192800559,0.387960874231504,0.577329251839291,0.358990975229108,0.318620689655172,0.473661699094159,0.502387248516425,0.172608494223124,0.338555871423558,0.840649308452004,0.623982903922795,0.820733344122944,-0.694927728493128,-0.504599259970358,-0.687902977798313,-0.455460582716077,-0.274365069435756,-0.364990809025855,0.840582396142068,0.680859181909966,0.871521669029905,0.553419275627019,0.327205326884354,0.520437743254076,0.547304759035476,0.121909073759133,0.207955138312933,0.716699364122746,0.567951476503092,0.780490574907111
"positive",-0.0646850700793889,-0.115286037923535,-0.148942870332767,-0.213079046237171,-0.130641331187161,-0.189528200742522,0.377192891590986,0.377117850064934,0.558671246219905,-0.259215200067456,-0.122921096371821,-0.217586679634881,0.645327566106061,0.459893717685287,0.673722508000032,-0.760301745107756,-0.601991710524846,-0.773637049800799,-0.247753051551524,-0.123538617644742,-0.185879061738526,-0.55638582152167,-0.280017506016616,-0.39690427961464,-0.132719083407526,-0.166738214741894,-0.212695887565302,0.856695718496769,0.650869075903464,0.857727054357124,-0.530866960430845,-0.371060533166944,-0.474470590649748,0.384084423707487,0.231338581698918,0.352626331517352,0.8751342460878,0.63393699191428,0.827653140470692,0.204088132089512,0.228217370696716,0.345286901798818,0.233782542535444,0.242090156422115,0.354752420450341,0.281095897845866,0.0742414702674368,0.114975866046925,0.761521775037139,0.587070416414669,0.762321694564789,-0.457403780660856,-0.301979194783694,-0.473707800997383,-0.139639779345333,-0.0416875394635251,-0.048653771235043,0.814826813888181,0.675095347651064,0.864999850051523,0.263423493287889,0.182904352371434,0.316333979183047,0.42012094840324,0.0887957212456195,0.156071969902289,0.446942425096532,0.404365508037899,0.553094148932018
"negative",0.276430265290895,-0.0752096161122585,-0.0933399733487248,-0.411186155862302,-0.339941233551908,-0.412859946701357,-0.459182957178261,-0.240695603287435,-0.383357549664988,-0.84150456077782,-0.62916859127054,-0.837906877048575,-0.420230114830952,-0.263506755437395,-0.394796855616243,0.688254946961109,0.568977418677499,0.759010506529309,0.141972615945419,0.0871794878614291,0.0903272109445244,-0.894240475280728,-0.603676857302991,-0.791724826858934,0.347764229584019,0.311238293148465,0.387853894903955,0.783237687427884,0.571018467675126,0.754620914261354,-0.269477325671076,-0.214574938571392,-0.302270156760703,0.661114961863145,0.532381857758439,0.712304388254782,0.88026392121136,0.783279510526087,0.92378835941033,0.599825280724694,0.480495204148691,0.693430915138881,0.500387298469296,0.387851038225307,0.547213814203238,0.542680775978533,0.214805744708636,0.401908398750687,0.783369235841503,0.583243108345322,0.78832569863359,-0.386174868184358,-0.278992348819454,-0.414167428565827,-0.582017543617473,-0.358530922507554,-0.513419922588095,0.845300642766178,0.692476488043164,0.880897006625028,0.727959759652172,0.489984568145181,0.677445824006172,0.518613904281581,0.250271915013576,0.339617734015071,0.819196251248419,0.675241658924003,0.843590730157881
"normalized_views",-0.0760133128407176,-0.133041588232799,-0.202910310595144,-0.104474459647911,-0.0917557363465163,-0.125935006863181,0.601329879058901,0.51803238613074,0.714997751742899,0.405349475781151,0.262549240804843,0.428187893916545,0.753154163635025,0.534941884454581,0.736603749285586,-0.757554000663097,-0.678807634843453,-0.861585566949359,-0.477513970666046,-0.337105377702657,-0.505986861885707,-0.111400113554751,0.0302518912750095,0.00500916149277848,-0.315005511259981,-0.335133056945257,-0.418184955936292,0.758980102756815,0.512689102161308,0.759524744135317,-0.354831510978056,-0.218679685301086,-0.313071039608074,0.0530143385948216,0.0407265384773797,0.0843134321598288,0.551020863377542,0.524712072685261,0.753822144431017,-0.378509063781585,-0.187949802867269,-0.231131688649197,0.487927215930758,0.287556715308293,0.413784820575192,0.153057708103007,0.0489691032953668,0.0762334329538069,-0.00956061862337164,0.105902472211406,0.118277127083136,-0.499956221311556,-0.332499710779199,-0.526295361092701,0.34848268690043,0.213705166160479,0.349633756802692,0.440639812232148,0.305806163234421,0.436255703136952,0.0620578424045516,0.0796485764404589,0.138984391831448,0.748598173541832,0.332175846360473,0.496262056572351,0.636447273286767,0.524796698938328,0.714776741140338
"total_views",-0.313367058916068,-0.100281347521339,-0.137093644047074,0.213228214149319,0.11625726812297,0.213838467725928,0.63939175191687,0.460028759884441,0.669801054273847,0.736793593350014,0.411077097031582,0.661729747640217,0.696001005816648,0.53019129048186,0.696503975869175,-0.777178746006479,-0.81385570033408,-0.948537482686086,-0.466830993789428,-0.343607410210275,-0.490514027957146,0.512503020975764,0.386274148924708,0.602906778338707,-0.412963692278823,-0.407028155310202,-0.522649060296733,0.542737314956281,0.343167906713677,0.553759220102422,-0.048762247828543,-0.017879471125246,-0.00149103766267296,-0.567203057143428,-0.37729679985648,-0.590774217452722,0.2638853616352,0.484051727569429,0.715318964910034,-0.627643891261834,-0.391016263951697,-0.549863563274914,-0.108370034024399,-0.0917627654858417,-0.126798316274525,-0.469598758946145,-0.35419209221535,-0.590252581210183,-0.508891679585256,-0.390127132967624,-0.556120173331162,-0.144032650104964,-0.113285412536575,-0.171109272138412,0.586818381993734,0.378016803571169,0.55582847430581,-0.32573610998954,-0.137339618801998,-0.164984356779561,-0.476981405677318,-0.350565633091234,-0.491744390179514,0.428802891062158,0.0635187857399907,0.130088378969181,-0.274430121217273,-0.117400476007335,-0.152575357914095
